Wind Speed (km/h),January,February,March,April,May,June,July,August,September,October,November,December,Sum
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.2
3,0.3,0.3,0.5,1,1.6,1.9,2.7,2.5,1.5,1.2,0.8,0.6,14.9
8.5,2.6,2,3.3,5.2,7.9,7.2,8.1,7.4,5.7,4.1,3.1,3.1,59.7
15.5,4.9,5.2,6.4,11.6,11.5,12.4,11.5,11.3,11.1,9.6,7.9,6.4,109.8
23.5,8,8.3,8.7,7.8,7.6,6.8,6.8,7.4,8.4,9.2,8.9,7.5,95.4
33,7.6,8.2,7,3.3,1.4,1.5,0.8,1.2,2.9,4.5,6.6,6.9,51.9
44,4.2,4.6,2.9,0.8,0,0.2,0,0.1,0.3,1.2,2.1,4,20.4
55.5,2.4,1.4,1.2,0.3,0,0,0,0,0.1,0.2,0.6,1.5,7.7
Sum,30,30,30,30,30,30,30,30,30,30,30,30,
